12n_0401	5	{-1,2,-3,4,-1,2,4,-3,2,3,3,4}
12n_0402	4	{-1,-1,-1,-2,3,-2,-3,-1,-2,3,-2,-1,-3}
12n_0403a	4	{-1,-1,-1,2,-3,-3,-2,1,-2,3,1,2,-1}
12n_0403b	4	{-1,-1,-2,-1,3,2,-1,2,-4,3,-2,-4}
12n_0404	5	{1,2,-3,-4,-2,-3,-3,-4,-2,-1,-1,-2,-3,4}
12n_0405	5	{1,-2,3,4,1,-2,4,3,-2,3,4,3}
12n_0406	5	{1,-2,1,2,3,3,3,4,2,-3,2,4,3,3}
12n_0407	4	{1,-2,1,2,3,-2,3,2,-3,2,3,3,3}
12n_0408	5	{-1,2,-1,-2,-3,2,-3,-2,3,4,-2,-3,4,4}
12n_0409	4	{-1,2,-1,-2,-3,-3,-2,-2,3,3,-2,-2,3}
12n_0410	5	{-1,2,2,3,1,1,-2,3,4,-2,-2,-3,4,3}
12n_0411	5	{1,-2,-3,-4,3,-4,2,2,-3,2,-3,-1,-1,-2}
12n_0412	4	{1,-2,-2,-3,-3,-2,1,2,2,2,-3,-2,-2}
12n_0413	4	{1,-2,-3,1,-3,1,2,2,-1,2,-3,-2,1}
12n_0414	5	{-1,2,-3,4,-1,-3,2,-3,-2,3,-4,3,-2,4}
12n_0415	4	{1,-2,3,1,3,1,-2,1,-2,3,-1,-2,1}
12n_0416	4	{1,-2,-2,-3,1,1,2,2,3,1,3,-2,1}
12n_0417	3	{-1,2,2,1,1,2,2,2,1,1,2,2}
12n_0418	4	{-1,2,3,-1,3,3,2,2,2,3,-2,3,3}
12n_0419	4	{1,2,2,1,1,2,2,3,3,-2,1,-2,-3}
12n_0420	5	{1,-2,-3,1,1,2,-3,4,-3,2,-3,4}
12n_0421	5	{1,-2,-3,4,1,-2,-3,-3,4,-3,-2,4,3,3}
12n_0422	5	{1,-2,-3,-4,1,-2,3,3,-4,3,-2,-4,3,3}
12n_0423	5	{-1,2,-3,4,-1,-2,-3,-3,4,-3,-2,4,3,3}
12n_0424	4	{1,-2,1,2,3,-2,3,-2,-2,3,-2,3,3}
12n_0425	4	{-1,-2,3,-1,3,-2,1,-2,3,-1,-2,-1,-2}
12n_0426	4	{1,2,3,1,3,2,-1,2,3,1,2,1,2}
12n_0427	4	{1,1,-2,-3,1,2,2,3,1,3,-2,1,-2}
12n_0428	4	{1,-2,1,2,3,3,3,-2,3,3,-2,3,3}
12n_0429	5	{-1,-2,-3,-3,-4,-2,3,1,-4,1,-2,3,-2,-4}
12n_0430	5	{1,-2,3,3,-2,-1,-1,2,-3,-4,2,3,-4,-3}
12n_0431	5	{-1,2,-3,-3,2,1,1,-2,3,-4,-2,3,-4,3}
12n_0432	5	{1,2,-3,-4,-2,-2,-3,-1,-3,-4,-1,-2,-3,4}
12n_0433	5	{1,-2,1,2,-3,-4,-2,-4,-3,2,-3,-4,-2,-3}
12n_0434	5	{-1,2,-3,-1,-3,2,-3,-4,2,2,3,-4}
12n_0435	5	{-1,2,3,-4,-1,-2,3,-2,-2,3,3,-4}
12n_0436	5	{-1,2,3,-4,-1,-2,3,-2,-2,-3,-3,-4}
12n_0437	5	{1,-2,1,2,3,3,-4,2,-4,2,-3,-3,-4,-3}
12n_0438	4	{1,-2,3,3,2,2,2,-1,2,-3,-1,-2,1}
12n_0439	4	{-1,-2,-3,1,-3,2,-1,2,-3,1,-2,-1,2}
12n_0440	4	{1,-2,3,3,-2,-2,-2,1,-2,-3,1,-2,1}
12n_0441	4	{1,1,-2,-3,1,-2,1,2,2,3,3,2,2}
